iter	Passed	Remaining
1551	4701	1357
1552	4704	1354
1553	4707	1351
1554	4710	1348
1555	4713	1345
1556	4716	1341
1557	4718	1338
1558	4722	1335
1559	4725	1332
1560	4729	1330
1561	4731	1326
1562	4735	1323
1563	4738	1320
1564	4740	1317
1565	4744	1314
1566	4746	1311
1567	4749	1308
1568	4751	1305
1569	4754	1302
1570	4757	1299
1571	4760	1296
1572	4763	1292
1573	4766	1289
1574	4769	1286
1575	4771	1283
1576	4774	1280
1577	4777	1277
1578	4780	1274
1579	4782	1271
1580	4785	1268
1581	4788	1265
1582	4791	1262
1583	4794	1259
1584	4797	1255
1585	4799	1252
1586	4802	1249
1587	4805	1246
1588	4808	1243
1589	4811	1240
1590	4814	1237
1591	4817	1234
1592	4820	1231
1593	4823	1228
1594	4826	1225
1595	4829	1222
1596	4832	1219
1597	4835	1216
1598	4838	1213
1599	4841	1210
1600	4844	1207
1601	4846	1204
1602	4849	1201
1603	4852	1197
1604	4855	1195
1605	4858	1191
1606	4861	1188
1607	4864	1185
1608	4866	1182
1609	4870	1179
1610	4873	1176
1611	4875	1173
1612	4878	1170
1613	4881	1167
1614	4884	1164
1615	4888	1161
1616	4890	1158
1617	4893	1155
1618	4896	1152
1619	4898	1149
1620	4901	1146
1621	4904	1143
1622	4907	1139
1623	4910	1136
1624	4914	1134
1625	4917	1131
1626	4920	1128
1627	4923	1125
1628	4926	1122
1629	4929	1118
1630	4933	1116
1631	4935	1113
1632	4939	1110
1633	4941	1106
1634	4944	1103
1635	4948	1100
1636	4951	1097
1637	4954	1094
1638	4957	1091
1639	4960	1088
1640	4964	1086
1641	4967	1083
1642	4971	1080
1643	4974	1077
1644	4977	1074
1645	4980	1071
1646	4983	1068
1647	4986	1065
1648	4990	1062
1649	4992	1059
1650	4996	1056
1651	4999	1053
1652	5002	1050
1653	5005	1047
1654	5008	1044
1655	5012	1041
1656	5015	1038
1657	5019	1035
1658	5023	1032
1659	5026	1029
1660	5030	1026
1661	5033	1023
1662	5037	1020
1663	5040	1017
1664	5044	1014
1665	5048	1012
1666	5051	1009
1667	5054	1006
1668	5057	1003
1669	5061	1000
1670	5064	997
1671	5068	994
1672	5071	991
1673	5075	988
1674	5079	985
1675	5082	982
1676	5086	979
1677	5088	976
1678	5092	973
1679	5095	970
1680	5099	967
1681	5102	964
1682	5105	961
1683	5109	958
1684	5113	955
1685	5116	952
1686	5119	949
1687	5123	947
1688	5127	944
1689	5130	941
1690	5133	938
1691	5136	935
1692	5140	932
1693	5143	929
1694	5146	926
1695	5149	923
1696	5152	920
1697	5156	917
1698	5159	914
